cliente_id,nome,provincia,tipo_conta,data_abertura,saldo_inicial_kz,conta_ativa
CLI0001,Rosa Fernandes 4,Malanje,Poupança,2019-04-03,74071.27,Sim
CLI0002,Rui Correia 12,Saurimo,Jovem,2018-03-07,19749.62,Sim
CLI0003,Filipe Carvalho 65,Saurimo,Corrente,2021-02-23,103424.64,Não
CLI0004,Filipe Carvalho 58,Saurimo,Empresarial,2022-07-16,435303.66,Sim
CLI0005,Dulce Moreira 44,Malanje,Poupança,2019-03-17,478820.47,Sim
CLI0006,João Baptista 12,Uíge,Corrente,2020-01-06,424509.71,Sim
CLI0007,Carlos Mendes 94,Sumbe,Corrente,2020-02-15,44006.1,Sim
CLI0008,Sónia Castro 47,Saurimo,Poupança,2021-12-13,39429.8,Sim
CLI0009,Arnaldo Vieira 11,Lubango,Corrente,2020-02-18,142596.93,Sim
CLI0010,Albano Teixeira 48,Cabinda,Poupança,2021-10-04,137154.02,Sim
CLI0011,Dário Macedo 82,Huambo,Poupança,2018-12-01,233818.8,Sim
CLI0012,Olga Rodrigues 29,Cabinda,Corrente,2019-04-15,411792.28,Sim
CLI0013,Jacinta Ferreira 35,Benguela,Poupança,2021-03-07,438801.98,Sim
CLI0014,Graça Alves 84,Sumbe,Jovem,2021-08-09,232131.67,Sim
CLI0015,Manuel Costa 32,Kuito,Empresarial,2022-03-10,294370.07,Não
CLI0016,Teresa Ribeiro 29,Huambo,Jovem,2018-07-06,379112.17,Sim
CLI0017,Célia Martins 81,Huambo,Jovem,2021-05-06,36446.21,Não
CLI0018,Dário Macedo 60,Kuito,Empresarial,2021-02-07,431085.95,Sim
CLI0019,Rosa Fernandes 88,Kuito,Empresarial,2022-04-24,322276.09,Sim
CLI0020,Arnaldo Vieira 56,Huambo,Jovem,2018-01-07,477138.88,Sim
CLI0021,Edmundo Fonseca 98,Huambo,Corrente,2022-11-18,314523.6,Sim
CLI0022,Célia Martins 48,Huambo,Corrente,2021-05-11,165457.25,Sim
CLI0023,Rosa Fernandes 47,Malanje,Poupança,2018-04-29,124231.44,Sim
CLI0024,Fátima Lopes 94,Sumbe,Corrente,2022-04-07,268689.55,Sim
CLI0025,Manuel Costa 85,Sumbe,Poupança,2019-06-27,266198.52,Não
CLI0026,Graça Alves 70,Lubango,Empresarial,2020-03-28,497598.93,Sim
CLI0027,Renato Gomes 67,Sumbe,Corrente,2019-05-23,116225.18,Sim
CLI0028,Maria João 76,Kuito,Poupança,2021-04-20,114007.61,Sim
CLI0029,Ana Luísa 30,Benguela,Corrente,2022-10-27,168562.1,Sim
CLI0030,Conceição Dias 86,Sumbe,Poupança,2021-01-09,70494.37,Não
CLI0031,Esperança Rocha 61,Uíge,Poupança,2018-07-13,52980.75,Não
CLI0032,Osvaldo Monteiro 55,Uíge,Jovem,2022-11-05,365892.55,Sim
CLI0033,Ana Luísa 52,Cabinda,Corrente,2019-05-25,99837.09,Não
CLI0034,Manuel Costa 55,Huambo,Empresarial,2020-08-05,128654.19,Sim
CLI0035,Renato Gomes 71,Benguela,Corrente,2021-08-28,499644.82,Sim
CLI0036,Fátima Lopes 97,Lubango,Poupança,2020-04-12,245392.36,Sim
CLI0037,Jacinta Ferreira 8,Huambo,Jovem,2018-01-05,492727.88,Sim
CLI0038,Isaura Pereira 37,Uíge,Jovem,2018-11-14,98999.44,Sim
CLI0039,Ana Luísa 75,Kuito,Corrente,2022-03-12,160234.38,Sim
CLI0040,Virgínia Henriques 62,Kuito,Poupança,2018-04-27,480585.56,Sim
CLI0041,Lurdes Pinto 9,Saurimo,Corrente,2021-10-14,431600.5,Não
CLI0042,Rosa Fernandes 73,Lubango,Corrente,2021-06-22,45581.79,Sim
CLI0043,Augusto Lima 27,Cabinda,Poupança,2019-06-28,200913.99,Sim
CLI0044,Isaura Pereira 41,Benguela,Corrente,2020-07-27,312473.83,Sim
CLI0045,Pedro Neto 69,Lubango,Empresarial,2018-09-29,466963.39,Sim
CLI0046,Esperança Rocha 48,Malanje,Poupança,2020-06-16,417703.75,Sim
CLI0047,Sónia Castro 84,Kuito,Corrente,2021-09-29,409466.55,Sim
CLI0048,João Baptista 18,Malanje,Corrente,2018-08-08,372496.26,Sim
CLI0049,Conceição Dias 37,Saurimo,Poupança,2022-01-09,174725.74,Sim
CLI0050,Edmundo Fonseca 63,Malanje,Corrente,2018-07-09,318970.8,Sim
CLI0051,Carlos Mendes 1,Cabinda,Poupança,2021-07-28,489999.99,Sim
